Spell Name	Level	Class(es)	School	Casting Time	Range	Target/Area	Component(s)	Concentration	Duration	Attack/Saving Throw (Effect)	DAM Type	Damage/Heal	Additional Detail
Reincarnate	5	Druid	Transmutation	1 hour	Touch	1 dead humanoid	RARE OILS AND UNGUENTS		Instantaneous				Resurrect dead humanoid into a random humanoid body. See Sourcebook.
Blade Barrier	6	Cleric	Evocation	1 action	90 ft.	5x20x(100 line/60 dia. circle)ft.		1	10 minutes	DEX (Half DAM)	Slashing	DAM: 6d10	Creatures entering wall/circle area take DAM.
Conjure Woodland Beings	4	Druid, Ranger	Conjuration	1 action	60 ft.		1 holly berry per creature	1	1 hour				Summon fey creatures (CR <= 2) that obey commands.
Chill Touch	0	Cleric(Death), Sorcerer, Warlock, Wizard	Necromancy	1 action	120 ft.	1 creature			1 round	Ranged Spell Attack	Necrotic	DAM: 1d6	Extra 1d6 DAM at 5th level, 11th level, and 17th level. Can't regain HP.
Chain Lightning	6	Sorcerer, Wizard	Evocation	1 action	150 ft.	1 target, then 3 within 30ft.	bit of fur,glass,3 silver pins		Instantaneous	DEX (Half DAM)	Lightning	DAM: 10d8	Bolt hits one target then forks to up to 3 others.
Friends	0	Bard, Sorcerer, Warlock, Wizard	Enchantment	1 action	Self	1 non-hostile creature	makeup applied to face	1	1 minute				Advantage on CHA checks to target, who knows magic used once spell ends.
Animal Friendship	1	Bard, Cleric(Nature), Druid, Ranger	Enchantment	1 action	30 ft.	1 beast	morsel of food		24 hours	WIS (Fail)			Charm beasts with INT <= 3; spell fails if you hurt beast
Aura of Vitality	3	Paladin	Evocation	1 action	Self	30 ft. radius		1	1 minute			HEAL: 2d6	Use bonus action to HEAL 1 target in aura.
Enlarge/Reduce	2	Sorcerer, Wizard	Transmutation	1 action	30 ft.	1 creature or object	powdered iron	1	1 minute	CON (Fail)			Enlarge or reduce target. See Sourcebook.
Suggestion	2	Bard, Cleric(Knowledge), Sorcerer, Warlock, Wizard	Enchantment	1 action	30 ft.	1 creature	snake's tongue, honeycomb	1	8 hours	WIS (Fail)			Target follows reasonable course of action you suggest. Can specify conditions.
Web	2	Druid(Underdark), Sorcerer, Wizard	Conjuration	1 action	60 ft.	20 ft. cube	bit of spiderweb	1	1 hour	DEX (Fail)			Every turn:DEX save or restrain;STR save to escape.Burning webs:2d4 fire DAM.
Thunderwave	1	Bard, Cleric(Tempest), Druid, Sorcerer, Wizard	Evocation	1 action	Self	15 ft. cube			Instantaneous	CON (Half DAM, no push)	Thunder	DAM: 2d8	Creatures failing save and objects pushed 10 ft. Boom heard for 300 ft.
Find Steed	2	Paladin	Conjuration	10 minutes	30 ft.				Instantaneous				Summons a spirit in the form of a steed. See Sourcebook.
Blinding Smite	3	Paladin	Evocation	1 bonus action	Self	Self		1	1 minute	CON per turn (Blindness ends)	Radiant	DAM: 3d8	Next melee attack target takes DAM and is blinded until spell ends.
Protection from Energy	3	Cleric, Druid, Paladin(Ancients,Vengeance), Ranger, Sorcerer, Wizard	Abjuration	1 action	Touch	1 creature		1	1 hour				Creature gains resistance to one of: acid, cold, fire, lightning, or thunder.
Simulacrum	7	Wizard	Illusion	12 hours	Touch		See Sourcebook.		Until Dispelled				Create duplicate of beast or humanoid that obeys your commands.
Enhance Ability	2	Bard, Cleric, Druid, Sorcerer	Transmutation	1 action	Touch	1 creature	fur or feather from a beast	1	1 hour				Target creature gains a beneficial effect. See Sourcebook.
Grasping Vine	4	Cleric(Nature), Druid, Ranger	Conjuration	1 bonus action	30 ft.			1	1 minute	DEX (Fail)			Create vine that lashes out 30 ft. away. Targets failing save pulled 20 ft. to vine.
Word of Recall	6	Cleric	Conjuration	1 action	5 ft.	You and <= 5 willing creatures			Instantaneous				Instantly teleport to sanctuary you select during prep associated with your deity.
True Polymorph	9	Bard, Warlock, Wizard	Transmutation	1 action	30 ft.	1 creature or nonmagical object	mercury, gum arabic, smoke	1	1 hour				Transform a creature/object into a different creature/object. See Sourcebook.
Fog Cloud	1	Cleric(Tempest), Druid, Ranger, Sorcerer, Wizard	Conjuration	1 action	120 ft.	20 ft. radius sphere		1	1 hour				Creates a foggy sphere. Can be banished by moderate wind.
Slow	3	Druid(Arctic), Sorcerer, Wizard	Transmutation	1 action	120 ft.	<= 6 creatures in 40 ft. cube	drop of molasses	1	1 minute	WIS (Fail)			Affected creatures become slowed. See Sourcebook.
Finger of Death	7	Sorcerer, Warlock, Wizard	Necromancy	1 action	60 ft.	1 creature			Instantaneous	CON (Half DAM)	Necrotic	DAM: 7d8+30	Humanoids killed rise as a zombie next turn permanently under your control.
Blindness/Deafness	2	Bard, Cleric, Sorcerer, Wizard	Necromancy	1 action	30 ft.	1 creature			1 minute	CON per turn (Fail)			Target becomes blind or deaf (your choice).
Fireball	3	Cleric(Light), Sorcerer, Wizard	Evocation	1 action	150 ft.	20 ft. radius sphere	tiny ball of guano and sulfur		Instantaneous	DEX (Half DAM)	Fire	DAM: 8d6	Fire spreads around corners and ignites flammable objects.
Faerie Fire	1	Bard, Cleric(Light), Druid	Evocation	1 action	60 ft.	20 ft. cube		1	1 minute	DEX (No Light)			Objects/creatures in cube are outlined in light and are attacked with advantage.
Heat Metal	2	Bard, Druid	Transmutation	1 action	60 ft.	1 metal object	piece of iron and a flame	1	1 minute	See Sourcebook.	Fire	DAM: 2d8	Heat metallic objects including weapons and armor. See Sourcebook.
Guardian of Faith	4	Cleric, Paladin(Devotion)	Conjuration	1 action	30 ft.				8 hours	DEX (No DAM)	Radiant	DAM: 20	Create spectral guardian that attacks hostiles. Leaves after dealing 60 DAM.
Detect Poison and Disease	1	Cleric, Druid, Paladin, Ranger	Divination	1 action	Self	30 ft. radius	yew leaf	1	10 minutes				Sense location and type of disease, poison, or poisonous creature.
Nystul's Magic Aura	2	Wizard	Illusion	1 action	Touch	1 creature or object	small square of silk		24 hours				Divination spells reveal false info about target. See Sourcebook.
Fire Bolt	0	Sorcerer, Wizard	Evocation	1 action	120 ft.	1 creature/object			Instantaneous	Ranged Spell Attack	Fire	DAM: 1d10	DAM at 5th level: 2d10, at 11th level: 3d10, at 17th level: 4d10.
Divine Favor	1	Cleric(War), Paladin	Evocation	1 bonus action	Self	Self		1	1 minute				Your weapon attacks deal extra 1d4 radiant DAM on a hit.
Tsunami	8	Druid	Conjuration	1 minute	Sight	300 ft x 300 ft x 50 ft water		1	6 rounds	STR (Half DAM)	Bludgeoning	DAM: 6d10	Creatures make STR save to avoid more damage (1d10 less DMG each round).
Create Undead	6	Cleric, Warlock, Wizard	Necromancy	1 minute	10 ft.		See Sourcebook.		Instantaneous				Create undead to serve you for 24 hours. See Sourcebook.
Disintegrate	6	Sorcerer, Wizard	Transmutation	1 action	60 ft.	1 creature	lodestone and pinch of dust		Instantaneous	DEX (Fail)	Force	DAM: 10d6+40	If target drops to 0 HP, is disintegrated. Only revived by True Resurrection.
Locate Creature	4	Bard, Cleric, Druid, Paladin, Ranger, Wizard	Divination	1 action	Self	1 creature familiar to you	bloodhound fur		Instantaneous				Sense creature direction within 1000 ft. or locate it within 30 ft.
Tongues	3	Bard, Cleric, Sorcerer, Warlock, Wizard	Divination	1 action	Touch	1 creature	clay model of a ziggurat		1 hour				Target understands any spoken language and is understood by everyone else.
Disguise Self	1	Bard, Cleric(Trickery), Sorcerer, Wizard	Illusion	1 action	Self	Self			1 hour				Create illusion to appear as someone else. Foiled by Investigation vs. spell DC.
Thaumaturgy	0	Cleric	Transmutation	1 action	30 ft.				Up to 1 minute				Create minor magical effect. See Sourcebook.
Command	1	Cleric, Paladin	Enchantment	1 action	60 ft.	1 creature			1 round	WIS (Fail)			Speak 1 word command to target. Can't cause harm. Doesn't affect undead.
Aid	2	Cleric, Paladin	Abjuration	1 action	30 ft.	3 allies	white cloth strip		8 hours			HEAL: 5	Each target also increases maximum HP by 5.
Fabricate	4	Wizard	Transmutation	10 minutes	120 ft.	10 ft. cube			Instantaneous				Convert raw materials into object no bigger than 5 ft. cube.
Wall of Stone	5	Druid, Sorcerer, Wizard	Evocation	1 action	120 ft.	See Sourcebook.	small block of granite	1	10 minutes	DEX (Move away, not trapped)			Create wall of stone or other stone structure. See Sourcebook.
Move Earth	6	Druid, Sorcerer, Wizard	Transmutation	1 action	120 ft.	40 ft. square of terrain	iron blade, bag of soil	1	2 hours				Reshape dirt, sand, or clay. Can move to different square after 10 minutes.
Prismatic Spray	7	Sorcerer, Wizard	Evocation	1 action	Self	60 ft. cone			Instantaneous	See Sourcebook.	See Sourcebook.	See Sourcebook.	Send a rainbow of negative effects at enemies. See Sourcebook.
Spiritual Weapon	2	Cleric	Evocation	1 bonus action	60 ft.				1 minute	Melee Spell Attack	Force	See Details	Magical weapon does 1d8 + casting ability DMG. Can move 20 ft. per turn.
Mending	0	Bard, Cleric, Druid, Sorcerer, Wizard	Transmutation	1 minute	Touch	1 object	two lodestones		Instantaneous				Mends one break or tear no larger than 1ft. in a mundane object.
Hold Monster	5	Bard, Cleric(War), Paladin(Vengeance), Sorcerer, Warlock, Wizard	Enchantment	1 action	90 ft.	1 creature	small straight piece of iron	1	1 minute	WIS (Fail)			Target is paralyzed. New saving throw at end of turn. Doesn't work on undead.
Conjure Celestial	7	Cleric	Conjuration	1 minute	90 ft.			1	1 hour				Summon celestial CR <= 4. Obeys commands that don't violate alignment.
Time Stop	9	Sorcerer, Wizard	Transmutation	1 action	Self				Instantaneous				Stop time. Take 1d4+1 turns alone. Spell ends if you affect others in any way.
Cloud of Daggers	2	Bard, Sorcerer, Warlock, Wizard	Conjuration	1 action	60 ft.	5 ft. cube	sliver of glass	1	1 minute		Slashing	DAM: 4d4	DAM taken on entering or starting turn in area.
Conjure Volley	5	Ranger	Conjuration	1 action	150 ft.	40 ft. radius, 20 ft. high cylinder	ammo or thrown weapon		Instantaneous	DEX (Half DAM)	See Details	DAM: 8d8	Damage type is same as ammo/weapon used as component.
Forbiddance	6	Cleric	Abjuration	10 minutes	Touch	40,000 sq. ft, 30 ft. high	holy water,incense,ruby powder		1 day		Radiant or Necrotic	DAM: 5d10	Can't teleport/gate into area. A creature type you choose takes DMG in area.
Mirage Arcane	7	Bard, Druid, Wizard	Illusion	10 minutes	Sight	1 square mile			10 days				Create audo,visual,tactile, and olfactory illusion. Only Truesight can detect.
Rary's Telepathic Bond	5	Wizard	Divination	1 action	30 ft.	<= 8 willing creatures	eggshell of 2 different creatures		1 hour				Targets can communicate telepathically with each other, but not to other planes.
Levitate	2	Sorcerer, Wizard	Transmutation	1 action	60 ft.	1 creature or object	small leather loop or golden wire	1	10 minutes	CON (Fail)			Target <= 500 lbs. floats 20 ft.Can move up/down 20ft./turn. Floats down on end.
Shillelagh	0	Cleric(Nature), Druid	Transmutation	1 bonus action	Touch	1 club or quarterstaff	mistletoe, shamrock, weapon		1 minute				Use casting ability instead of STR for attack,damage. Weapon does 1d8 DMG.
Beast Sense	2	Druid, Ranger	Divination	1 action	Touch	1 willing beast		1	1 hour				Use action to see/hear whatever beast does. Use action to return.
Light	0	Bard, Cleric, Wizard	Evocation	1 action	Touch	1 object <= 10 ft. cube	firefly or phosphorescent moss		1 hour	DEX (Fail)			Object sheds light in 20 ft. radious. Hostile targets get DEX save.
Leomund's Secret Chest	4	Wizard	Conjuration	1 action	Touch	1 chest	chest(5000), replica chest(50)		Instantaneous				Transport chest back and forth from Ethereal Plane using replica.
Guards and Wards	6	Bard, Wizard	Abjuration	10 minutes	Touch	See Sourcebook.	See sourcebook.		24 hours				Protect an area of space. See Sourcebook.
